professor_id,gender,tenure,beauty,students,rating
1,Male,Yes,-0.53,72.0,3.6
2,Female,No,-0.79,70.0,3.86
3,Female,Yes,-0.11,58.0,3.96
4,Female,No,-1.04,80.0,4.34
5,Male,Yes,-0.55,10.0,4.1
6,Male,Yes,-1.2,22.0,3.27
7,Male,Yes,1.96,96.0,4.21
8,Female,Yes,0.04,60.0,4.34
9,Female,No,-0.7,65.0,4.31
10,Female,Yes,0.21,92.0,4.59
11,Male,Yes,-0.11,71.0,4.46
12,Female,No,-0.22,41.0,4.25
13,Female,No,0.61,39.0,3.96
14,Male,Yes,0.76,38.0,3.09
15,Male,No,-0.53,58.0,4.24
16,Male,Yes,-0.58,54.0,4.11
17,Male,Yes,-0.28,39.0,4.15
18,Male,No,-2.3,25.0,3.3
19,Male,Yes,-1.52,49.0,3.41
20,Male,No,1.37,28.0,4.58
21,Female,No,1.64,27.0,3.98
22,Male,Yes,-0.25,10.0,4.37
23,Male,Yes,0.58,87.0,4.02
24,Male,Yes,0.31,56.0,4.02
25,Male,Yes,2.5,75.0,4.52
26,Female,Yes,1.12,47.0,3.72
27,Male,No,-0.13,60.0,4.05
28,Male,Yes,-0.96,72.0,3.75
29,Female,Yes,-1.61,13.0,3.76
30,Male,Yes,0.2,10.0,3.83
31,Female,Yes,-0.76,17.0,4.12
32,Male,Yes,-1.42,38.0,3.74
33,Male,Yes,-0.65,64.0,4.69
34,Female,Yes,-1.08,12.0,3.51
35,Female,Yes,1.69,41.0,3.9
36,Female,No,0.88,19.0,3.76
37,Male,Yes,-0.01,83.0,4.8
38,Male,Yes,1.48,92.0,4.11
39,Female,No,0.08,43.0,4.57
40,Male,Yes,-0.86,96.0,3.18
41,Male,No,1.52,64.0,4.15
42,Male,No,0.54,41.0,4.49
43,Male,No,-1.04,,4.05
44,Female,Yes,-0.19,16.0,4.59
45,Male,Yes,-0.88,17.0,3.72
46,Female,No,-1.38,74.0,4.78
47,Male,Yes,0.93,66.0,5.0
48,Male,No,1.91,76.0,3.8
49,Male,No,-1.4,97.0,3.75
50,Male,No,0.56,96.0,4.8
